time,resource,ammount
2023-11-29 10:44,"Mules",4
2023-11-29 10:44,"Midlands Palfrey",13
2023-11-29 10:44,"Royal Destrier",18
2023-11-29 10:44,"Armoured Horses",15
2023-11-29 21:27,"Mules",9
2023-11-29 21:27,"Midlands Palfrey",14
2023-11-29 21:27,"Royal Destrier",0
2023-11-29 21:27,"Armoured Horses",23
2023-11-30 22:31,"Mules",37
2023-11-30 22:31,"Midlands Palfrey",12
2023-11-30 22:31,"Royal Destrier",28
2023-11-30 22:31,"Armoured Horses",63
2023-12-03 15:37,"Mules" 20
2023-12-03 15:37,"Midlands Palfrey",26
2023-12-03 15:37,"Royal Destrier",9
2023-12-03 15:37,"Armoured Horses", 46
