time,resource,ammount
2023-11-29 21:26,"Doctors Scalpel",6
2023-11-29 21:26,"Imperial Light Mace",58
2023-11-29 21:26,"Cataphract Mace",28
2023-11-29 21:26,"Reinforced Highland Spear",16
2023-11-29 21:26,"Noble Cavalry Lance",57
2023-11-29 21:26,"Pavise Shield",53
2023-11-29 21:26,"Noble Longbow",18 
2023-11-29 21:26,"Bound Crossbow",4
2023-11-29 21:26,"Stacked Bodkin Arrows",0
2023-11-29 21:26,"Heavy Bolts",69
2023-11-29 21:26,"Executioner Axe",25
2023-11-30 22:33,"Doctors Scalpel",26
2023-11-30 22:33,"Imperial Light Mace",80
2023-11-30 22:33,"Cataphract Mace",10
2023-11-30 22:33,"Reinforced Highland Spear",11
2023-11-30 22:33,"Noble Cavalry Lance",70
2023-11-30 22:33,"Pavise Shield",54
2023-11-30 22:33,"Noble Longbow",38 
2023-11-30 22:33,"Bound Crossbow",9
2023-11-30 22:33,"Stacked Bodkin Arrows",152
2023-11-30 22:33,"Heavy Bolts",5
2023-11-30 22:33,"Executioner Axe",12
